date,month,year,destination_country,value,continent,subcontinent,continent_total,subcontinent_total,monthly_total
2004-01-01,1,2004,     Allemagne,121.0,EUROPE,Union Européenne,1668.0,1385.0,13344.0
2004-01-01,1,2004,     Belgique - Luxembourg,707.0,EUROPE,Union Européenne,1668.0,1385.0,13344.0
2004-01-01,1,2004,     Danemark,12.0,EUROPE,Union Européenne,1668.0,1385.0,13344.0
2004-01-01,1,2004,     Espagne,3.0,EUROPE,Union Européenne,1668.0,1385.0,13344.0
2004-01-01,1,2004,     France,60.0,EUROPE,Union Européenne,1668.0,1385.0,13344.0
2004-01-01,1,2004,     Grèce,0.0,EUROPE,Union Européenne,1668.0,1385.0,13344.0
2004-01-01,1,2004,     Irlande,0.0,EUROPE,Union Européenne,1668.0,1385.0,13344.0
2004-01-01,1,2004,     Italie,161.0,EUROPE,Union Européenne,1668.0,1385.0,13344.0
2004-01-01,1,2004,     Pays-Bas,320.0,EUROPE,Union Européenne,1668.0,1385.0,13344.0
2004-01-01,1,2004,     Portugal,0.0,EUROPE,Union Européenne,1668.0,1385.0,13344.0
2004-01-01,1,2004,     Roumanie,0.0,EUROPE,Union Européenne,1668.0,1385.0,13344.0
2004-01-01,1,2004,     Autres pays de l'U.E.,1.0,EUROPE,Union Européenne,1668.0,1385.0,13344.0
2004-01-01,1,2004,     Suisse,6.0,EUROPE,AUTRES,1668.0,283.0,13344.0
2004-01-01,1,2004,     Turquie,0.0,EUROPE,AUTRES,1668.0,283.0,13344.0
2004-01-01,1,2004,     Royaume-Uni,8.0,EUROPE,AUTRES,1668.0,283.0,13344.0
2004-01-01,1,2004,     Russie,0.0,EUROPE,AUTRES,1668.0,283.0,13344.0
2004-01-01,1,2004,     Autres pays d'Europe,269.0,EUROPE,AUTRES,1668.0,283.0,13344.0
2004-01-01,1,2004,     Arabie Saoudite,50.0,ASIE,None,1523.0,1523.0,13344.0
2004-01-01,1,2004,     Bangladesh,141.0,ASIE,None,1523.0,1523.0,13344.0
2004-01-01,1,2004,     Corée du Nord,8.0,ASIE,None,1523.0,1523.0,13344.0
2004-01-01,1,2004,     Corée du Sud,32.0,ASIE,None,1523.0,1523.0,13344.0
2004-01-01,1,2004,     Emirats Arabes Unis,0.0,ASIE,None,1523.0,1523.0,13344.0
2004-01-01,1,2004,     Hong-Kong,0.0,ASIE,None,1523.0,1523.0,13344.0
2004-01-01,1,2004,     Iran,44.0,ASIE,None,1523.0,1523.0,13344.0
2004-01-01,1,2004,     Japon,292.0,ASIE,None,1523.0,1523.0,13344.0
2004-01-01,1,2004,     Pakistan,0.0,ASIE,None,1523.0,1523.0,13344.0
2004-01-01,1,2004,     Rép. Pop. de Chine,217.0,ASIE,None,1523.0,1523.0,13344.0
2004-01-01,1,2004,     Taiwan,0.0,ASIE,None,1523.0,1523.0,13344.0
2004-01-01,1,2004,     Union Indienne,303.0,ASIE,None,1523.0,1523.0,13344.0
2004-01-01,1,2004,     Autres pays d'Asie,436.0,ASIE,None,1523.0,1523.0,13344.0
2004-01-01,1,2004,     Afrique du Sud,171.0,AFRIQUE,None,10071.0,10071.0,13344.0
2004-01-01,1,2004,     Djibouti,0.0,AFRIQUE,None,10071.0,10071.0,13344.0
2004-01-01,1,2004,     Kenya,2446.0,AFRIQUE,None,10071.0,10071.0,13344.0
2004-01-01,1,2004,     Ouganda,601.0,AFRIQUE,None,10071.0,10071.0,13344.0
2004-01-01,1,2004,     R.D.C.(1) ,480.0,AFRIQUE,None,10071.0,10071.0,13344.0
2004-01-01,1,2004,     Rwanda,80.0,AFRIQUE,None,10071.0,10071.0,13344.0
2004-01-01,1,2004,     Tanzanie,3271.0,AFRIQUE,None,10071.0,10071.0,13344.0
2004-01-01,1,2004,     Zambie,2792.0,AFRIQUE,None,10071.0,10071.0,13344.0
2004-01-01,1,2004,     Zimbabwe,17.0,AFRIQUE,None,10071.0,10071.0,13344.0
2004-01-01,1,2004,     Autres pays d'Afrique,213.0,AFRIQUE,None,10071.0,10071.0,13344.0
2004-01-01,1,2004,       Etats-Unis ,2.0,AMERIQUE,None,72.0,72.0,13344.0
2004-01-01,1,2004,       Canada,53.0,AMERIQUE,None,72.0,72.0,13344.0
2004-01-01,1,2004,       Autres pays d'Amérique,17.0,AMERIQUE,None,72.0,72.0,13344.0
2004-01-01,1,2004,        Australie,0.0,OCEANIE,None,0.0,0.0,13344.0
2004-01-01,1,2004,        Autres,0.0,OCEANIE,None,0.0,0.0,13344.0
2004-02-01,2,2004,     Allemagne,75.0,EUROPE,Union Européenne,1246.0,1013.0,16491.0
2004-02-01,2,2004,     Belgique - Luxembourg,443.0,EUROPE,Union Européenne,1246.0,1013.0,16491.0
2004-02-01,2,2004,     Danemark,8.0,EUROPE,Union Européenne,1246.0,1013.0,16491.0
2004-02-01,2,2004,     Espagne,23.0,EUROPE,Union Européenne,1246.0,1013.0,16491.0
2004-02-01,2,2004,     France,207.0,EUROPE,Union Européenne,1246.0,1013.0,16491.0
2004-02-01,2,2004,     Grèce,0.0,EUROPE,Union Européenne,1246.0,1013.0,16491.0
2004-02-01,2,2004,     Irlande,0.0,EUROPE,Union Européenne,1246.0,1013.0,16491.0
2004-02-01,2,2004,     Italie,110.0,EUROPE,Union Européenne,1246.0,1013.0,16491.0
2004-02-01,2,2004,     Pays-Bas,119.0,EUROPE,Union Européenne,1246.0,1013.0,16491.0
2004-02-01,2,2004,     Portugal,0.0,EUROPE,Union Européenne,1246.0,1013.0,16491.0
2004-02-01,2,2004,     Roumanie,23.0,EUROPE,Union Européenne,1246.0,1013.0,16491.0
2004-02-01,2,2004,     Autres pays de l'U.E.,5.0,EUROPE,Union Européenne,1246.0,1013.0,16491.0
2004-02-01,2,2004,     Suisse,26.0,EUROPE,AUTRES,1246.0,233.0,16491.0
2004-02-01,2,2004,     Turquie,0.0,EUROPE,AUTRES,1246.0,233.0,16491.0
2004-02-01,2,2004,     Royaume-Uni,66.0,EUROPE,AUTRES,1246.0,233.0,16491.0
2004-02-01,2,2004,     Russie,0.0,EUROPE,AUTRES,1246.0,233.0,16491.0
2004-02-01,2,2004,     Autres pays d'Europe,141.0,EUROPE,AUTRES,1246.0,233.0,16491.0
2004-02-01,2,2004,     Arabie Saoudite,145.0,ASIE,None,1455.0,1455.0,16491.0
2004-02-01,2,2004,     Bangladesh,0.0,ASIE,None,1455.0,1455.0,16491.0
2004-02-01,2,2004,     Corée du Nord,28.0,ASIE,None,1455.0,1455.0,16491.0
2004-02-01,2,2004,     Corée du Sud,38.0,ASIE,None,1455.0,1455.0,16491.0
2004-02-01,2,2004,     Emirats Arabes Unis,0.0,ASIE,None,1455.0,1455.0,16491.0
2004-02-01,2,2004,     Hong-Kong,0.0,ASIE,None,1455.0,1455.0,16491.0
2004-02-01,2,2004,     Iran,0.0,ASIE,None,1455.0,1455.0,16491.0
2004-02-01,2,2004,     Japon,221.0,ASIE,None,1455.0,1455.0,16491.0
2004-02-01,2,2004,     Pakistan,0.0,ASIE,None,1455.0,1455.0,16491.0
2004-02-01,2,2004,     Rép. Pop. de Chine,410.0,ASIE,None,1455.0,1455.0,16491.0
2004-02-01,2,2004,     Taiwan,0.0,ASIE,None,1455.0,1455.0,16491.0
2004-02-01,2,2004,     Union Indienne,166.0,ASIE,None,1455.0,1455.0,16491.0
2004-02-01,2,2004,     Autres pays d'Asie,447.0,ASIE,None,1455.0,1455.0,16491.0
2004-02-01,2,2004,     Afrique du Sud,418.0,AFRIQUE,None,13711.0,13711.0,16491.0
2004-02-01,2,2004,     Djibouti,0.0,AFRIQUE,None,13711.0,13711.0,16491.0
2004-02-01,2,2004,     Kenya,2031.0,AFRIQUE,None,13711.0,13711.0,16491.0
2004-02-01,2,2004,     Ouganda,2491.0,AFRIQUE,None,13711.0,13711.0,16491.0
2004-02-01,2,2004,     R.D.C.(1) ,1750.0,AFRIQUE,None,13711.0,13711.0,16491.0
2004-02-01,2,2004,     Rwanda,156.0,AFRIQUE,None,13711.0,13711.0,16491.0
2004-02-01,2,2004,     Tanzanie,4904.0,AFRIQUE,None,13711.0,13711.0,16491.0
2004-02-01,2,2004,     Zambie,1856.0,AFRIQUE,None,13711.0,13711.0,16491.0
2004-02-01,2,2004,     Zimbabwe,0.0,AFRIQUE,None,13711.0,13711.0,16491.0
2004-02-01,2,2004,     Autres pays d'Afrique,105.0,AFRIQUE,None,13711.0,13711.0,16491.0
2004-02-01,2,2004,       Etats-Unis ,41.0,AMERIQUE,None,75.0,75.0,16491.0
2004-02-01,2,2004,       Canada,6.0,AMERIQUE,None,75.0,75.0,16491.0
2004-02-01,2,2004,       Autres pays d'Amérique,28.0,AMERIQUE,None,75.0,75.0,16491.0
2004-02-01,2,2004,        Australie,0.0,OCEANIE,None,0.0,0.0,16491.0
2004-02-01,2,2004,        Autres,0.0,OCEANIE,None,0.0,0.0,16491.0
