     Pays de destination,Date,Value
  I. EUROPE,2004-01-01,1668.0
   1. Union Européenne,2004-01-01,1385.0
     Allemagne,2004-01-01,121.0
     Belgique - Luxembourg,2004-01-01,707.0
     Danemark,2004-01-01,12.0
     Espagne,2004-01-01,3.0
     France,2004-01-01,60.0
     Grèce,2004-01-01,0.0
     Irlande,2004-01-01,0.0
     Italie,2004-01-01,161.0
     Pays-Bas,2004-01-01,320.0
     Portugal,2004-01-01,0.0
     Roumanie,2004-01-01,0.0
     Autres pays de l'U.E.,2004-01-01,1.0
   2. AUTRES,2004-01-01,283.0
     Suisse,2004-01-01,6.0
     Turquie,2004-01-01,0.0
     Royaume-Uni,2004-01-01,8.0
     Russie,2004-01-01,0.0
     Autres pays d'Europe,2004-01-01,269.0
II. ASIE,2004-01-01,1523.0
     Arabie Saoudite,2004-01-01,50.0
     Bangladesh,2004-01-01,141.0
     Corée du Nord,2004-01-01,8.0
     Corée du Sud,2004-01-01,32.0
     Emirats Arabes Unis,2004-01-01,0.0
     Hong-Kong,2004-01-01,0.0
     Iran,2004-01-01,44.0
     Japon,2004-01-01,292.0
     Pakistan,2004-01-01,0.0
     Rép. Pop. de Chine,2004-01-01,217.0
     Taiwan,2004-01-01,0.0
     Union Indienne,2004-01-01,303.0
     Autres pays d'Asie,2004-01-01,436.0
III. AFRIQUE,2004-01-01,10071.0
     Afrique du Sud,2004-01-01,171.0
     Djibouti,2004-01-01,0.0
     Kenya,2004-01-01,2446.0
     Ouganda,2004-01-01,601.0
     R.D.C.(1) ,2004-01-01,480.0
     Rwanda,2004-01-01,80.0
     Tanzanie,2004-01-01,3271.0
     Zambie,2004-01-01,2792.0
     Zimbabwe,2004-01-01,17.0
     Autres pays d'Afrique,2004-01-01,213.0
 IV. AMERIQUE,2004-01-01,72.0
       Etats-Unis ,2004-01-01,2.0
       Canada,2004-01-01,53.0
       Autres pays d'Amérique,2004-01-01,17.0
  V. OCEANIE,2004-01-01,0.0
        Australie,2004-01-01,0.0
        Autres,2004-01-01,0.0
 VI. PAYS NON SPECIFIES,2004-01-01,10.0
TOTAL,2004-01-01,13344.0
  I. EUROPE,2004-02-01,1246.0
   1. Union Européenne,2004-02-01,1013.0
     Allemagne,2004-02-01,75.0
     Belgique - Luxembourg,2004-02-01,443.0
     Danemark,2004-02-01,8.0
     Espagne,2004-02-01,23.0
     France,2004-02-01,207.0
     Grèce,2004-02-01,0.0
     Irlande,2004-02-01,0.0
     Italie,2004-02-01,110.0
     Pays-Bas,2004-02-01,119.0
     Portugal,2004-02-01,0.0
     Roumanie,2004-02-01,23.0
     Autres pays de l'U.E.,2004-02-01,5.0
   2. AUTRES,2004-02-01,233.0
     Suisse,2004-02-01,26.0
     Turquie,2004-02-01,0.0
     Royaume-Uni,2004-02-01,66.0
     Russie,2004-02-01,0.0
     Autres pays d'Europe,2004-02-01,141.0
II. ASIE,2004-02-01,1455.0
     Arabie Saoudite,2004-02-01,145.0
     Bangladesh,2004-02-01,0.0
     Corée du Nord,2004-02-01,28.0
     Corée du Sud,2004-02-01,38.0
     Emirats Arabes Unis,2004-02-01,0.0
     Hong-Kong,2004-02-01,0.0
     Iran,2004-02-01,0.0
     Japon,2004-02-01,221.0
     Pakistan,2004-02-01,0.0
     Rép. Pop. de Chine,2004-02-01,410.0
     Taiwan,2004-02-01,0.0
     Union Indienne,2004-02-01,166.0
     Autres pays d'Asie,2004-02-01,447.0
III. AFRIQUE,2004-02-01,13711.0
     Afrique du Sud,2004-02-01,418.0
     Djibouti,2004-02-01,0.0
