date,year,month,destination_country,value,continent,subcontinent,continent_total,subcontinent_total,monthly_total
2003-01-01,2003,1,nan,,,,,,11879.4
2003-01-01,2003,1,Union Indienne,0.0,,,,,11879.4
2003-01-01,2003,1,Autres pays d'Asie,390.0,,,,,11879.4
2003-01-01,2003,1,Afrique du Sud,224.6,AFRIQUE,,3712.0,3712.0,11879.4
2003-01-01,2003,1,Djibouti,0.0,AFRIQUE,,3712.0,3712.0,11879.4
2003-01-01,2003,1,Egypte,,AFRIQUE,,3712.0,3712.0,11879.4
2003-01-01,2003,1,Kenya,1580.8,AFRIQUE,,3712.0,3712.0,11879.4
2003-01-01,2003,1,Ouganda,49.2,AFRIQUE,,3712.0,3712.0,11879.4
2003-01-01,2003,1,R.D.C. (1),85.9,AFRIQUE,,3712.0,3712.0,11879.4
2003-01-01,2003,1,Rwanda,40.3,AFRIQUE,,3712.0,3712.0,11879.4
2003-01-01,2003,1,Tanzanie,1215.8,AFRIQUE,,3712.0,3712.0,11879.4
2003-01-01,2003,1,Sud Soudan,,AFRIQUE,,3712.0,3712.0,11879.4
2003-01-01,2003,1,Somalie,,AFRIQUE,,3712.0,3712.0,11879.4
2003-01-01,2003,1,Taiwan,0.0,AFRIQUE,,3712.0,3712.0,11879.4
2003-01-01,2003,1,Zimbabwe,0.0,AFRIQUE,,3712.0,3712.0,11879.4
2003-01-01,2003,1,Etats-Unis,80.6,AMERIQUE,,222.79999999999998,222.79999999999998,11879.4
2003-01-01,2003,1,Canada,49.8,AMERIQUE,,222.79999999999998,222.79999999999998,11879.4
2003-01-01,2003,1,Autres pays d'Amérique,92.4,AMERIQUE,,222.79999999999998,222.79999999999998,11879.4
2003-01-01,2003,1,Australie,0.0,OCEANIE,,0.0,0.0,11879.4
2003-01-01,2003,1,Autres pays de l'Océanie,0.0,OCEANIE,,0.0,0.0,11879.4
2003-01-01,2003,1,nan,,PAYS NON SPECIFIES,,118.1,118.1,11879.4
2003-01-01,2003,1,nan,,PAYS NON SPECIFIES,,118.1,118.1,11879.4
2003-01-01,2003,1,(1)  : République Démocratique du Congo,,PAYS NON SPECIFIES,,118.1,118.1,11879.4
2003-01-01,2003,1,Source  : OBR,,PAYS NON SPECIFIES,,118.1,118.1,11879.4
2003-01-01,2003,1,Autres pays d'Afrique,119.5,PAYS NON SPECIFIES,,118.1,118.1,11879.4
2003-01-01,2003,1,Rép. Pop. de Chine,822.2,PAYS NON SPECIFIES,,118.1,118.1,11879.4
2003-01-01,2003,1,Zambie,395.9,PAYS NON SPECIFIES,,118.1,118.1,11879.4
2003-01-01,2003,1,Japon,1114.0,PAYS NON SPECIFIES,,118.1,118.1,11879.4
2003-01-01,2003,1,Pakistan,3.5,PAYS NON SPECIFIES,,118.1,118.1,11879.4
2003-01-01,2003,1,1. Union Européenne,4704.1,,,,,11879.4
2003-01-01,2003,1,Allemagne,344.6,EUROPE,Union Européenne,5083.1,4704.1,11879.4
2003-01-01,2003,1,Belgique - Luxembourg,2304.9,EUROPE,Union Européenne,5083.1,4704.1,11879.4
2003-01-01,2003,1,Danemark,513.6,EUROPE,Union Européenne,5083.1,4704.1,11879.4
2003-01-01,2003,1,Espagne,30.5,EUROPE,Union Européenne,5083.1,4704.1,11879.4
2003-01-01,2003,1,France,283.8,EUROPE,Union Européenne,5083.1,4704.1,11879.4
2003-01-01,2003,1,Grèce,31.6,EUROPE,Union Européenne,5083.1,4704.1,11879.4
2003-01-01,2003,1,Italie,499.4,EUROPE,Union Européenne,5083.1,4704.1,11879.4
2003-01-01,2003,1,Pays-Bas,203.6,EUROPE,Union Européenne,5083.1,4704.1,11879.4
2003-01-01,2003,1,Portugal,0.0,EUROPE,Union Européenne,5083.1,4704.1,11879.4
