     Pays de destination,Date,Value
  I. EUROPE,2003-01-01,5083.1
   1. Union Européenne,2003-01-01,4704.1
     Allemagne,2003-01-01,344.6
     Belgique - Luxembourg,2003-01-01,2304.9
     Danemark,2003-01-01,513.6
     Espagne,2003-01-01,30.5
     France,2003-01-01,283.8
     Grèce,2003-01-01,31.6
     Irlande,2003-01-01,450.8
     Italie,2003-01-01,499.4
     Pays-Bas,2003-01-01,203.6
     Portugal,2003-01-01,0.0
     Roumanie,2003-01-01,0.0
     Autres pays de l'U.E.,2003-01-01,41.3
   2. AUTRES,2003-01-01,379.0
     Suisse,2003-01-01,95.0
    Turquie,2003-01-01,0.0
     Royaume-Uni,2003-01-01,140.2
     Russie,2003-01-01,141.0
     Autres pays d'Europe,2003-01-01,2.8
II. ASIE,2003-01-01,2743.4
     Arabie Saoudite,2003-01-01,354.6
     Bangladesh,2003-01-01,0.0
     Corée du Nord,2003-01-01,0.0
     Corée du Sud,2003-01-01,12.6
     Emirats Arabes Unis,2003-01-01,0.0
     Hong-Kong,2003-01-01,46.5
     Iran,2003-01-01,0.0
     Japon,2003-01-01,1114.0
     Pakistan,2003-01-01,3.5
     Rép. Pop. de Chine,2003-01-01,822.2
     Taiwan,2003-01-01,0.0
     Union Indienne,2003-01-01,0.0
     Autres pays d'Asie,2003-01-01,390.0
III. AFRIQUE,2003-01-01,3712.0
     Afrique du Sud,2003-01-01,224.6
     Djibouti,2003-01-01,0.0
     Kenya,2003-01-01,1580.8
     Ouganda,2003-01-01,49.2
     R.D.C. (1),2003-01-01,85.9
     Rwanda,2003-01-01,40.3
     Tanzanie,2003-01-01,1215.8
     Zambie,2003-01-01,395.9
     Zimbabwe,2003-01-01,0.0
     Autres pays d'Afrique,2003-01-01,119.5
 IV. AMERIQUE,2003-01-01,222.79999999999998
     Etats-Unis ,2003-01-01,80.6
     Canada,2003-01-01,49.8
     Autres pays d'Amérique,2003-01-01,92.4
  V. OCEANIE,2003-01-01,0.0
     Australie,2003-01-01,0.0
     Autres pays de l'Océanie,2003-01-01,0.0
 VI. PAYS NON SPECIFIES,2003-01-01,118.1
TOTAL,2003-01-01,11879.4
  I. EUROPE,2003-02-01,4758.5
   1. Union Européenne,2003-02-01,4548.6
     Allemagne,2003-02-01,353.9
     Belgique - Luxembourg,2003-02-01,2575.4
     Danemark,2003-02-01,290.1
     Espagne,2003-02-01,181.5
     France,2003-02-01,355.7
     Grèce,2003-02-01,130.9
     Irlande,2003-02-01,10.4
     Italie,2003-02-01,479.2
     Pays-Bas,2003-02-01,171.5
     Portugal,2003-02-01,0.0
     Roumanie,2003-02-01,0.0
     Autres pays de l'U.E.,2003-02-01,0.0
   2. AUTRES,2003-02-01,209.9
     Suisse,2003-02-01,73.1
    Turquie,2003-02-01,0.0
     Royaume-Uni,2003-02-01,113.4
     Russie,2003-02-01,0.0
     Autres pays d'Europe,2003-02-01,23.4
II. ASIE,2003-02-01,1739.3000000000002
     Arabie Saoudite,2003-02-01,67.1
     Bangladesh,2003-02-01,0.0
     Corée du Nord,2003-02-01,0.0
     Corée du Sud,2003-02-01,9.8
     Emirats Arabes Unis,2003-02-01,0.0
     Hong-Kong,2003-02-01,0.0
     Iran,2003-02-01,0.0
     Japon,2003-02-01,368.8
     Pakistan,2003-02-01,0.0
     Rép. Pop. de Chine,2003-02-01,412.1
     Taiwan,2003-02-01,43.7
     Union Indienne,2003-02-01,437.7
     Autres pays d'Asie,2003-02-01,400.1
III. AFRIQUE,2003-02-01,4629.8
     Afrique du Sud,2003-02-01,341.0
     Djibouti,2003-02-01,0.0
     Kenya,2003-02-01,1587.9
     Ouganda,2003-02-01,126.5
     R.D.C. (1),2003-02-01,222.6
     Rwanda,2003-02-01,103.3
     Tanzanie,2003-02-01,1675.8
     Zambie,2003-02-01,511.8
     Zimbabwe,2003-02-01,1.2
     Autres pays d'Afrique,2003-02-01,59.7
 IV. AMERIQUE,2003-02-01,398.20000000000005
     Etats-Unis ,2003-02-01,282.3
     Canada,2003-02-01,31.5
     Autres pays d'Amérique,2003-02-01,84.4
  V. OCEANIE,2003-02-01,0.0
     Australie,2003-02-01,0.0
     Autres pays de l'Océanie,2003-02-01,0.0
 VI. PAYS NON SPECIFIES,2003-02-01,9.4
TOTAL,2003-02-01,11535.2
  I. EUROPE,2003-03-01,3856.7999999999997
   1. Union Européenne,2003-03-01,3510.2
     Allemagne,2003-03-01,355.2
     Belgique - Luxembourg,2003-03-01,1742.9
     Danemark,2003-03-01,191.5
     Espagne,2003-03-01,…
     France,2003-03-01,724.5
     Grèce,2003-03-01,…
     Irlande,2003-03-01,0
     Italie,2003-03-01,371.9
     Pays-Bas,2003-03-01,124.2
     Portugal,2003-03-01,0
     Roumanie,2003-03-01,0
     Autres pays de l'U.E.,2003-03-01,…
   2. AUTRES,2003-03-01,346.6
     Suisse,2003-03-01,67.8
    Turquie,2003-03-01,0
     Royaume-Uni,2003-03-01,142.8
     Russie,2003-03-01,5
     Autres pays d'Europe,2003-03-01,131
II. ASIE,2003-03-01,3056.3999999999996
     Arabie Saoudite,2003-03-01,394.7
     Bangladesh,2003-03-01,0
     Corée du Nord,2003-03-01,0
     Corée du Sud,2003-03-01,61.9
     Emirats Arabes Unis,2003-03-01,0
     Hong-Kong,2003-03-01,12.7
     Iran,2003-03-01,0
     Japon,2003-03-01,724.3
     Pakistan,2003-03-01,0
     Rép. Pop. de Chine,2003-03-01,575.9
     Taiwan,2003-03-01,0
     Union Indienne,2003-03-01,664.7
     Autres pays d'Asie,2003-03-01,622.2
III. AFRIQUE,2003-03-01,6561.900000000001
     Afrique du Sud,2003-03-01,212.9
     Djibouti,2003-03-01,0
     Kenya,2003-03-01,2824.7
     Ouganda,2003-03-01,170
     R.D.C. (1),2003-03-01,182.8
     Rwanda,2003-03-01,131.7
     Tanzanie,2003-03-01,2157.9
     Zambie,2003-03-01,699.3
     Zimbabwe,2003-03-01,32.1
     Autres pays d'Afrique,2003-03-01,150.5
 IV. AMERIQUE,2003-03-01,416.7
     Etats-Unis ,2003-03-01,200.1
     Canada,2003-03-01,138.1
     Autres pays d'Amérique,2003-03-01,78.5
  V. OCEANIE,2003-03-01,0
     Australie,2003-03-01,0
     Autres pays de l'Océanie,2003-03-01,0
 VI. PAYS NON SPECIFIES,2003-03-01,57.8
TOTAL,2003-03-01,13949.6
  I. EUROPE,2003-04-01,5458.200000000001
   1. Union Européenne,2003-04-01,4619.1
     Allemagne,2003-04-01,390.8
     Belgique - Luxembourg,2003-04-01,2330.8
     Danemark,2003-04-01,482.7
     Espagne,2003-04-01,39.2
     France,2003-04-01,1055.5
     Grèce,2003-04-01,1.0
     Irlande,2003-04-01,0.0
     Italie,2003-04-01,130.1
     Pays-Bas,2003-04-01,180.9
     Portugal,2003-04-01,0.0
     Roumanie,2003-04-01,0.0
     Autres pays de l'U.E.,2003-04-01,8.1
   2. AUTRES,2003-04-01,839.0999999999999
     Suisse,2003-04-01,177.3
    Turquie,2003-04-01,0.0
     Royaume-Uni,2003-04-01,83.4
     Russie,2003-04-01,422.0
     Autres pays d'Europe,2003-04-01,156.4
II. ASIE,2003-04-01,2522.0
     Arabie Saoudite,2003-04-01,135.7
     Bangladesh,2003-04-01,335.0
     Corée du Nord,2003-04-01,0.0
     Corée du Sud,2003-04-01,59.9
     Emirats Arabes Unis,2003-04-01,0.0
     Hong-Kong,2003-04-01,66.2
     Iran,2003-04-01,0.0
     Japon,2003-04-01,356.2
     Pakistan,2003-04-01,0.0
     Rép. Pop. de Chine,2003-04-01,323.1
     Taiwan,2003-04-01,0.0
     Union Indienne,2003-04-01,749.9
     Autres pays d'Asie,2003-04-01,496.0
III. AFRIQUE,2003-04-01,4922.800000000001
     Afrique du Sud,2003-04-01,367.9
     Djibouti,2003-04-01,0.0
     Kenya,2003-04-01,2287.8
     Ouganda,2003-04-01,107.4
     R.D.C. (1),2003-04-01,67.3
     Rwanda,2003-04-01,51.8
     Tanzanie,2003-04-01,1424.5
     Zambie,2003-04-01,604.2
     Zimbabwe,2003-04-01,4.3
     Autres pays d'Afrique,2003-04-01,7.6
 IV. AMERIQUE,2003-04-01,185.2
     Etats-Unis ,2003-04-01,89.5
     Canada,2003-04-01,80.7
     Autres pays d'Amérique,2003-04-01,15.0
  V. OCEANIE,2003-04-01,0.0
     Australie,2003-04-01,0.0
     Autres pays de l'Océanie,2003-04-01,0.0
 VI. PAYS NON SPECIFIES,2003-04-01,198.3
TOTAL,2003-04-01,13286.5
  I. EUROPE,2003-05-01,4056.8
   1. Union Européenne,2003-05-01,3822.5
     Allemagne,2003-05-01,1082.8
     Belgique - Luxembourg,2003-05-01,2008.7
     Danemark,2003-05-01,10.4
     Espagne,2003-05-01,10.6
     France,2003-05-01,324.1
     Grèce,2003-05-01,0.0
     Irlande,2003-05-01,0.0
     Italie,2003-05-01,284.9
     Pays-Bas,2003-05-01,101.0
     Portugal,2003-05-01,0.0
     Roumanie,2003-05-01,0.0
     Autres pays de l'U.E.,2003-05-01,0.0
   2. AUTRES,2003-05-01,234.29999999999998
     Suisse,2003-05-01,47.6
    Turquie,2003-05-01,28.2
     Royaume-Uni,2003-05-01,33.1
     Russie,2003-05-01,0.0
     Autres pays d'Europe,2003-05-01,125.4
II. ASIE,2003-05-01,2095.8
     Arabie Saoudite,2003-05-01,0.0
     Bangladesh,2003-05-01,0.0
     Corée du Nord,2003-05-01,0.0
     Corée du Sud,2003-05-01,101.7
     Emirats Arabes Unis,2003-05-01,0.0
     Hong-Kong,2003-05-01,42.5
     Iran,2003-05-01,0.0
     Japon,2003-05-01,335.9
     Pakistan,2003-05-01,7.3
     Rép. Pop. de Chine,2003-05-01,231.9
     Taiwan,2003-05-01,0.0
     Union Indienne,2003-05-01,282.8
     Autres pays d'Asie,2003-05-01,1093.7
III. AFRIQUE,2003-05-01,4692.900000000001
     Afrique du Sud,2003-05-01,418.5
     Djibouti,2003-05-01,0.0
     Kenya,2003-05-01,1660.8
     Ouganda,2003-05-01,27.1
     R.D.C. (1),2003-05-01,209.8
     Rwanda,2003-05-01,93.1
     Tanzanie,2003-05-01,1120.9
     Zambie,2003-05-01,1013.5
     Zimbabwe,2003-05-01,7.9
     Autres pays d'Afrique,2003-05-01,141.3
 IV. AMERIQUE,2003-05-01,361.70000000000005
     Etats-Unis ,2003-05-01,210.4
     Canada,2003-05-01,66.7
     Autres pays d'Amérique,2003-05-01,84.6
  V. OCEANIE,2003-05-01,0.0
     Australie,2003-05-01,0.0
     Autres pays de l'Océanie,2003-05-01,0.0
 VI. PAYS NON SPECIFIES,2003-05-01,41.1
TOTAL,2003-05-01,11248.300000000001
  I. EUROPE,2003-06-01,4694.099999999999
   1. Union Européenne,2003-06-01,4427.2
     Allemagne,2003-06-01,279.5
     Belgique - Luxembourg,2003-06-01,1959.1
     Danemark,2003-06-01,853.1
     Espagne,2003-06-01,35.4
     France,2003-06-01,666.6
     Grèce,2003-06-01,2.9
     Irlande,2003-06-01,17.4
     Italie,2003-06-01,150.0
     Pays-Bas,2003-06-01,413.9
     Portugal,2003-06-01,0.0
     Roumanie,2003-06-01,0.0
     Autres pays de l'U.E.,2003-06-01,49.3
   2. AUTRES,2003-06-01,266.9
     Suisse,2003-06-01,48.7
    Turquie,2003-06-01,0.0
     Royaume-Uni,2003-06-01,108.1
     Russie,2003-06-01,2.2
     Autres pays d'Europe,2003-06-01,107.9
II. ASIE,2003-06-01,2697.6000000000004
     Arabie Saoudite,2003-06-01,166.0
     Bangladesh,2003-06-01,0.0
     Corée du Nord,2003-06-01,0.0
     Corée du Sud,2003-06-01,163.4
     Emirats Arabes Unis,2003-06-01,0.0
     Hong-Kong,2003-06-01,52.2
     Iran,2003-06-01,0.0
     Japon,2003-06-01,598.9
     Pakistan,2003-06-01,5.7
     Rép. Pop. de Chine,2003-06-01,559.0
     Taiwan,2003-06-01,49.5
     Union Indienne,2003-06-01,421.6
     Autres pays d'Asie,2003-06-01,681.3
III. AFRIQUE,2003-06-01,5693.0999999999985
     Afrique du Sud,2003-06-01,645.4
     Djibouti,2003-06-01,0.0
     Kenya,2003-06-01,2035.8
     Ouganda,2003-06-01,298.7
     R.D.C. (1),2003-06-01,289.6
     Rwanda,2003-06-01,63.9
     Tanzanie,2003-06-01,941.4
     Zambie,2003-06-01,1100.4
     Zimbabwe,2003-06-01,0.0
     Autres pays d'Afrique,2003-06-01,317.9
 IV. AMERIQUE,2003-06-01,231.5
     Etats-Unis ,2003-06-01,126.6
     Canada,2003-06-01,104.9
     Autres pays d'Amérique,2003-06-01,0.0
  V. OCEANIE,2003-06-01,0.0
     Australie,2003-06-01,0.0
     Autres pays de l'Océanie,2003-06-01,0.0
 VI. PAYS NON SPECIFIES,2003-06-01,3.5
TOTAL,2003-06-01,13319.8
  I. EUROPE,2003-07-01,6500.799999999999
   1. Union Européenne,2003-07-01,6299.299999999999
     Allemagne,2003-07-01,983.6
     Belgique - Luxembourg,2003-07-01,3299.5
     Danemark,2003-07-01,96.7
     Espagne,2003-07-01,49.9
     France,2003-07-01,1010.9
     Grèce,2003-07-01,0.0
     Irlande,2003-07-01,15.4
     Italie,2003-07-01,608.8
     Pays-Bas,2003-07-01,234.5
     Portugal,2003-07-01,0.0
     Roumanie,2003-07-01,0.0
     Autres pays de l'U.E.,2003-07-01,0.0
   2. AUTRES,2003-07-01,201.5
     Suisse,2003-07-01,39.5
    Turquie,2003-07-01,36.9
     Royaume-Uni,2003-07-01,97.0
     Russie,2003-07-01,0.0
     Autres pays d'Europe,2003-07-01,28.1
II. ASIE,2003-07-01,3479.0
     Arabie Saoudite,2003-07-01,184.3
     Bangladesh,2003-07-01,0.0
     Corée du Nord,2003-07-01,0.0
     Corée du Sud,2003-07-01,29.9
